Date,District,Time,CO,FSP,NO2,NOX,O3,RSP,SO2
20200120,Tuen Mun,9,94,2,44,83,11,2,6
20200121,Tuen Mun,9,90,3,45,54,56,3,4
20200122,Tuen Mun,9,91,46,82,117,2,65,5
20200123,Tuen Mun,9,102,3,66,144,9,43,6
20200124,Tuen Mun,9,83,19,59,104,11,2,5
20200125,Tuen Mun,9,59,13,15,18,63,15,4
20200126,Tuen Mun,9,90,7,2,3,16,5,4
20200127,Tuen Mun,9,81,9,2,2,3,8,4
20200128,Tuen Mun,9,60,9,2,3,3,9,3
20200129,Tuen Mun,9,70,19,2,3,53,2,4
20200130,Tuen Mun,9,61,3,3,43,63,41,5
20200131,Tuen Mun,9,73,74,62,84,3,89,7
20200101,Yuen Long,9,68,18,3,40,3,40,4
20200102,Yuen Long,9,48,13,45,51,45,3,4
20200103,Yuen Long,9,103,2,81,3,3,59,5
20200104,Yuen Long,9,105,2,80,3,2,48,5
20200105,Yuen Long,9,42,11,2,3,62,2,4
20200106,Yuen Long,9,52,11,45,53,57,2,4
20200107,Yuen Long,9,97,2,78,2,6,44,5
20200108,Yuen Long,9,75,40,56,85,17,46,7
20200109,Yuen Long,9,90,17,49,56,68,42,4
20200110,Yuen Long,9,97,3,70,94,45,3,4
20200111,Yuen Long,9,98,2,76,2,11,45,5
20200112,Yuen Long,9,109,10,41,57,19,2,5
20200113,Yuen Long,9,106,17,52,82,9,3,6
20200114,Yuen Long,9,101,2,74,114,3,3,5
20200115,Yuen Long,9,74,2,49,64,55,40,4
20200116,Yuen Long,9,96,3,57,87,3,3,2
20200117,Yuen Long,9,119,5,3,59,15,2,4
20200118,Yuen Long,9,111,19,43,66,14,2,4
20200119,Yuen Long,9,108,2,3,44,2,45,5
20200120,Yuen Long,9,106,19,40,69,9,2,5
20200121,Yuen Long,9,12,3,76,13,2,3,4
20200122,Yuen Long,9,100,45,62,76,3,47,4
20200123,Yuen Long,9,86,NaN,58,12,17,2,4
20200124,Yuen Long,9,96,2,58,2,1,2,5
20200125,Yuen Long,9,56,7,2,2,58,19,3
20200126,Yuen Long,9,85,1,18,3,12,7,3
20200127,Yuen Long,9,69,3,15,2,3,8,5
20200128,Yuen Long,9,47,6,2,3,3,11,5
20200129,Yuen Long,9,59,15,2,3,49,2,5
20200130,Yuen Long,9,48,2,2,3,63,3,6
20200131,Yuen Long,9,48,3,3,50,52,3,6
